MINI BATCH SIZE,ACCURACY
20,59.000000
30,57.200000
40,27.600000
50,46.900000
60,57.100000
70,58.600000
80,55.300000
90,43.300000
100,52.100000
110,45.900000
120,49.800000
130,37.500000
140,50.000000
150,40.500000
160,36.700000
170,41.500000
180,27.600000
190,37.200000
200,42.800000
210,48.700000
220,44.500000
230,27.900000
240,44.500000
250,39.300000
260,27.600000
270,44.500000
280,44.500000
290,44.500000
300,44.500000
310,44.500000
320,44.500000
330,27.600000
340,44.500000
350,30.000000
360,44.500000
370,44.500000
380,27.600000
390,27.600000
400,44.500000
410,44.500000
